Timestamp,A,AX,AY,AZ,RX,RY,RZ
55102.442980375,0.23392577822630076,0.21122416853904724,-0.03974121809005737,-0.0923377275466919,-1.070144534111023,-1.2735129594802856,2.5252206325531006
55102.452939375005,0.20955304128747843,0.1917869746685028,-0.061694204807281494,-0.05765464901924133,-1.2835204601287842,-1.2246593236923218,2.523569345474243
55102.462897375,0.19337448013636085,0.1881599724292755,-0.04421281814575195,-0.00589415431022644,-1.3240948915481567,-1.0948076248168945,2.4692575931549072
55102.472856375,0.21554463022039733,0.20899444818496704,0.015589356422424316,0.05037638545036316,-1.2613990306854248,-1.0221112966537476,2.230253219604492
55102.482814375006,0.2717986779081886,0.24274307489395142,0.1031685471534729,0.06562447547912598,-1.0276492834091187,-1.0459165573120117,1.5567190647125244
55102.492773375,0.34179985288158576,0.26283398270606995,0.21453160047531128,0.0414925217628479,-0.521634578704834,-0.9267112016677856,1.0141568183898926
55102.502731375,0.39468842933214376,0.26611417531967163,0.2914813160896301,-0.0009188652038574219,-0.2085251361131668,-1.115108609199524,1.649763584136963
55102.512690375006,0.42374047418495053,0.2882719337940216,0.30838823318481445,-0.03676927089691162,-0.1329273134469986,-1.4174493551254272,1.8943302631378174
55102.522649375,0.40875255038900093,0.2632288634777069,0.31133705377578735,-0.02929934859275818,-0.17897896468639374,-1.4025429487228394,1.752609133720398
55102.532607375004,0.30199105164503803,0.19350656867027283,0.22659361362457275,-0.04908296465873718,-0.3242615759372711,-1.4042354822158813,1.689552903175354
55102.54256637501,0.19683087410949474,0.16108620166778564,0.08443379402160645,-0.07526329159736633,-0.516935408115387,-1.5071706771850586,1.690817952156067
55102.552524375,0.14612198796549267,0.12553143501281738,-0.03170245885848999,-0.06773808598518372,-0.7651394009590149,-1.6690846681594849,1.7423769235610962
55102.562483375004,0.14980598567700412,0.10788238048553467,-0.10095453262329102,-0.024726659059524536,-1.0203423500061035,-1.8099733591079712,1.8089662790298462
